Year, ABZUAU,
1945, 
1946, 
1947, 
1948, 79683
1949, 82053
1950, 85041
1951, 83753
1952, 79128
1953, 82538
1954, 85360
1955, 89139
1956, 91099
1957, 92487
1958, 94603
1959, 97733
1960, 102392
1961, 105172
1962, 106731
1963, 110261
1964, 113002
1965, 114266
1966, 116734
1967, 119324
1968, 122748
1969, 123917
1970, 126847
1971, 128599
1972, 134809
1973, 142949
1974, 142658
1975, 140850
1976, 141764
1977, 141795
1978, 147671
1979, 152487
1980, 150147
1981, 148462
1982, 148908
1983, 152587
1984, 155227
1985, 160259
1986, 167281
1987, 173498
1988, 179805
1989, 182919
1990, 184819
1991, 184923
1992, 186406
1993, 189824
1994, 195280
1995, 197168
1996, 205499
1997, 211363
1998, 216756
1999, 224666
2000, 234499
2001, 
2002, 
2003, 
2004, 
